prime0
N       count   time
100000  9592    551
200000  17984   1968
300000  25997   4403
400000  33860   7623
500000  41538   12731
600000  49098   16718
700000  56543   22048
800000  63951   29848
900000  71274   34637
1000000 78498   42733

prime1
N1      count   time
100000  9592    10
200000  17984   29
300000  25997   34
400000  33860   50
500000  41538   69
600000  49098   95
700000  56543   110
800000  63951   133
900000  71274   163
1000000 78498   181

prime2
N2      count   time
100000  9592    5
200000  17984   12
300000  25997   12
400000  33860   19
500000  41538   22
600000  49098   26
700000  56543   33
800000  63951   44
900000  71274   42
1000000 78498   55
